table,order,himpl,blen,timens
32-32,12,f,0,43300
32-32,12,f,0,24304
32-32,12,f,0,18228
32-32,12,f,0,20532
32-32,12,f,0,20183
32-32,12,f,0,20323
32-32,12,f,0,10057
32-32,12,f,0,19625
32-32,12,f,0,19485
32-32,12,f,0,9917
32-32,12,f,0,19136
32-32,12,f,0,10406
32-32,12,f,0,19905
32-32,12,f,0,30240
32-32,12,f,0,9987
32-32,12,f,0,30939
32-32,12,f,0,19206
32-32,12,f,0,20044
32-32,12,f,0,20183
32-32,12,f,0,21161
32-32,12,f,0,20462
32-32,12,f,0,9917
32-32,12,f,0,30589
32-32,12,f,0,10056
32-32,12,f,0,20603
32-32,12,f,0,10057
32-32,12,f,0,19136
32-32,12,f,0,20812
32-32,12,f,0,9917
32-32,12,f,0,20393
32-32,12,f,0,9987
32-32,12,f,0,19485
32-32,12,f,0,10126
32-32,12,f,0,19485
32-32,12,f,0,20602
32-32,12,f,0,9498
32-32,12,f,0,20881
32-32,12,f,0,10615
32-32,12,f,0,20113
32-32,12,f,0,9987
32-32,12,f,0,19485
32-32,12,f,0,20323
32-32,12,f,0,10057
32-32,12,f,0,31427
32-32,12,f,0,10057
32-32,12,f,0,20882
32-32,12,f,0,10894
32-32,12,f,0,19974
32-32,12,f,0,20254
32-32,12,f,0,10336
32-32,12,f,0,20812
32-32,12,f,0,11594
32-32,12,f,0,20603
32-32,12,f,0,10894
32-32,12,f,0,19625
32-32,12,f,0,31428
32-32,12,f,0,10755
32-32,12,f,0,20533
32-32,12,f,0,9987
32-32,12,f,0,20602
32-32,12,f,0,10545
32-32,12,f,0,19974
32-32,12,f,0,30519
32-32,12,f,0,10406
32-32,12,f,0,20113
32-32,12,f,0,10546
32-32,12,f,0,20113
32-32,12,f,0,9987
32-32,12,f,0,20393
32-32,12,f,0,32195
32-32,12,f,0,10615
32-32,12,f,0,31008
32-32,12,f,0,10056
32-32,12,f,0,19904
32-32,12,f,0,10406
32-32,12,f,0,21441
32-32,12,f,0,30520
32-32,12,f,0,10545
32-32,12,f,0,21371
32-32,12,f,0,10196
32-32,12,f,0,21511
32-32,12,f,0,10616
32-32,12,f,0,19415
32-32,12,f,0,31079
32-32,12,f,0,10057
32-32,12,f,0,19904
32-32,12,f,0,10057
32-32,12,f,0,19834
32-32,12,f,0,10336
32-32,12,f,0,20113
32-32,12,f,0,30520
32-32,12,f,0,10337
32-32,12,f,0,19555
32-32,12,f,0,10057
32-32,12,f,0,19764
32-32,12,f,0,10057
32-32,12,f,0,20952
32-32,12,f,0,31846
32-32,12,f,0,10895
32-32,12,f,0,30450
32-32,12,f,0,10057
32-32,12,f,0,20043
32-32,12,f,0,9917
32-32,12,f,0,20602
32-32,12,f,0,21231
32-32,12,f,0,10266
32-32,12,f,0,20393
32-32,12,f,0,10057
32-32,12,f,0,20043
32-32,12,f,0,9917
32-32,12,f,0,19206
32-32,12,f,0,19974
32-32,12,f,0,10615
32-32,12,f,0,19695
32-32,12,f,0,22279
32-32,12,f,0,20114
32-32,12,f,0,19974
32-32,12,f,0,20603
32-32,12,f,0,19485
32-32,12,f,0,20114
32-32,12,f,0,19624
32-32,12,f,0,20393
32-32,12,f,0,20462
32-32,12,f,0,19834
32-32,12,f,0,20812
32-32,12,f,0,20533
32-32,12,f,0,19625
32-32,12,f,0,21021
32-32,12,f,0,20183
32-32,12,f,0,22418
32-32,12,f,0,19136
32-32,12,f,0,10127
32-32,12,f,0,20323
32-32,12,f,0,20462
32-32,12,f,0,21021
32-32,12,f,0,19974
32-32,12,f,0,19974
32-32,12,f,0,30031
32-32,12,f,0,10546
32-32,12,f,0,19694
32-32,12,f,0,10546
32-32,12,f,0,20812
32-32,12,f,0,20113
32-32,12,f,0,20044
32-32,12,f,0,20114
32-32,12,f,0,9987
32-32,12,f,0,19904
32-32,12,f,0,14108
32-32,12,f,0,21231
32-32,12,f,0,21581
32-32,12,f,0,19625
32-32,12,f,0,20462
32-32,12,f,0,21370
32-32,12,f,0,20323
32-32,12,f,0,10057
32-32,12,f,0,20742
32-32,12,f,0,10406
32-32,12,f,0,20393
32-32,12,f,0,21021
32-32,12,f,0,9987
32-32,12,f,0,29193
32-32,12,f,0,10266
32-32,12,f,0,20183
32-32,12,f,0,10965
32-32,12,f,0,20114
32-32,12,f,0,20323
32-32,12,f,0,10825
32-32,12,f,0,19974
32-32,12,f,0,9987
32-32,12,f,0,20183
32-32,12,f,0,10616
32-32,12,f,0,19834
32-32,12,f,0,19973
32-32,12,f,0,10825
32-32,12,f,0,20533
32-32,12,f,0,11245
32-32,12,f,0,19625
32-32,12,f,0,10825
32-32,12,f,0,20184
32-32,12,f,0,21511
32-32,12,f,0,10546
32-32,12,f,0,40018
32-32,12,f,0,11035
32-32,12,f,0,21580
32-32,12,f,0,51890
32-32,12,f,0,15923
32-32,12,f,0,18647
32-32,12,f,0,19485
32-32,12,f,0,19624
32-32,12,f,0,10336
32-32,12,f,0,19485
32-32,12,f,0,141214
32-32,12,f,0,20393
32-32,12,f,0,20044
32-32,12,f,0,21022
32-32,12,f,0,20393
32-32,12,f,0,10475
32-32,12,f,0,20184
32-32,12,f,0,31497
32-32,12,f,0,20044
32-32,12,f,0,19695
32-32,12,f,0,20743
32-32,12,f,0,21371
32-32,12,f,0,10546
32-32,12,f,0,20532
32-32,12,f,0,19834
32-32,12,f,0,9498
32-32,12,f,0,30520
32-32,12,f,0,20043
32-32,12,f,0,19834
32-32,12,f,0,10476
32-32,12,f,0,20952
32-32,12,f,0,31008
32-32,12,f,0,9987
32-32,12,f,0,21021
32-32,12,f,0,19624
32-32,12,f,0,18927
32-32,12,f,0,9917
32-32,12,f,0,19555
32-32,12,f,0,31497
32-32,12,f,0,9987
32-32,12,f,0,20952
32-32,12,f,0,10057
32-32,12,f,0,20532
32-32,12,f,0,10546
32-32,12,f,0,20044
32-32,12,f,0,29542
32-32,12,f,0,10615
32-32,12,f,0,20463
32-32,12,f,0,10057
32-32,12,f,0,20114
32-32,12,f,0,10057
32-32,12,f,0,18577
32-32,12,f,0,29961
32-32,12,f,0,10126
32-32,12,f,0,20462
32-32,12,f,0,10615
32-32,12,f,0,20393
32-32,12,f,0,10756
32-32,12,f,0,29053
32-32,12,f,0,29053
32-32,12,f,0,9987
32-32,12,f,0,19974
32-32,12,f,0,10266
32-32,12,f,0,20253
32-32,12,f,0,10336
32-32,12,f,0,18647
32-32,12,f,0,29542
32-32,12,f,0,10616
32-32,12,f,0,19974
32-32,12,f,0,11383
32-32,12,f,0,20533
32-32,12,f,0,20044
32-32,12,f,0,18438
32-32,12,f,0,30938
32-32,12,f,0,10545
32-32,12,f,0,29123
32-32,12,f,0,10476
32-32,12,f,0,20882
32-32,12,f,0,10406
32-32,12,f,0,20462
32-32,12,f,0,30520
32-32,12,f,0,10405
32-32,12,f,0,28704
32-32,12,f,0,11314
32-32,12,f,0,21022
32-32,12,f,0,9219
32-32,12,f,0,18647
32-32,12,f,0,29961
32-32,12,f,0,11594
32-32,12,f,0,20463
32-32,12,f,0,10476
32-32,12,f,0,20043
32-32,12,f,0,29611
32-32,12,f,0,9987
32-32,12,f,0,20044
32-32,12,f,0,10336
32-32,12,f,0,19625
32-32,12,f,0,10545
32-32,12,f,0,19834
32-32,12,f,0,29542
32-32,12,f,0,10406
32-32,12,f,0,20113
32-32,12,f,0,9847
32-32,12,f,0,19415
32-32,12,f,0,10476
32-32,12,f,0,19066
32-32,12,f,0,30031
32-32,12,f,0,10127
32-32,12,f,0,21790
32-32,12,f,0,9568
32-32,12,f,0,19555
32-32,12,f,0,10825
32-32,12,f,0,24373
32-32,12,f,0,41345
32-32,12,f,0,9917
32-32,12,f,0,18927
32-32,12,f,0,11104
32-32,12,f,0,20253
32-32,12,f,0,20113
32-32,12,f,0,9987
32-32,12,f,0,20114
32-32,12,f,0,11384
32-32,12,f,0,20603
32-32,12,f,0,10266
32-32,12,f,0,19485
32-32,12,f,0,19974
32-32,12,f,0,10476
32-32,12,f,0,19485
32-32,12,f,0,9498
32-32,12,f,0,19415
32-32,12,f,0,10406
32-32,12,f,0,19764
32-32,12,f,0,19625
32-32,12,f,0,9707
32-32,12,f,0,29122
32-32,12,f,0,9847
32-32,12,f,0,20044
32-32,12,f,0,27587
32-32,12,f,0,20533
32-32,12,f,0,30589
32-32,12,f,0,10616
32-32,12,f,0,27726
32-32,12,f,0,10267
32-32,12,f,0,19695
32-32,12,f,0,10476
32-32,12,f,0,19206
32-32,12,f,0,30869
32-32,12,f,0,10267
32-32,12,f,0,20323
32-32,12,f,0,10406
32-32,12,f,0,20113
32-32,12,f,0,10057
32-32,12,f,0,19135
32-32,12,f,0,31008
32-32,12,f,0,9778
32-32,12,f,0,20951
32-32,12,f,0,9987
32-32,12,f,0,20114
32-32,12,f,0,9987
32-32,12,f,0,18996
32-32,12,f,0,29192
32-32,12,f,0,10895
32-32,12,f,0,21161
32-32,12,f,0,10476
32-32,12,f,0,20602
32-32,12,f,0,15644
32-32,12,f,0,19485
32-32,12,f,0,18577
32-32,12,f,0,10895
32-32,12,f,0,20114
32-32,12,f,0,10057
32-32,12,f,0,20393
32-32,12,f,0,60201
32-32,12,f,0,12432
32-32,12,f,0,20533
32-32,12,f,0,10755
32-32,12,f,0,18367
32-32,12,f,0,11733
32-32,12,f,0,19136
32-32,12,f,0,20533
32-32,12,f,0,10127
32-32,12,f,0,20113
32-32,12,f,0,9917
32-32,12,f,0,20533
32-32,12,f,0,19904
32-32,12,f,0,18856
32-32,12,f,0,31497
32-32,12,f,0,10825
32-32,12,f,0,21022
32-32,12,f,0,9847
32-32,12,f,0,19905
32-32,12,f,0,9917
32-32,12,f,0,19765
32-32,12,f,0,30939
32-32,12,f,0,10057
32-32,12,f,0,19974
32-32,12,f,0,20184
32-32,12,f,0,20463
32-32,12,f,0,10126
32-32,12,f,0,20043
32-32,12,f,0,30100
32-32,12,f,0,9987
32-32,12,f,0,20323
32-32,12,f,0,10476
32-32,12,f,0,20183
32-32,12,f,0,9987
32-32,12,f,0,19485
32-32,12,f,0,30869
32-32,12,f,0,10057
32-32,12,f,0,19764
32-32,12,f,0,20113
32-32,12,f,0,20673
32-32,12,f,0,10406
32-32,12,f,0,20044
32-32,12,f,0,19974
32-32,12,f,0,10476
32-32,12,f,0,30519
32-32,12,f,0,10126
32-32,12,f,0,20952
32-32,12,f,0,10127
32-32,12,f,0,19695
32-32,12,f,0,29542
32-32,12,f,0,9987
32-32,12,f,0,20463
32-32,12,f,0,14666
32-32,12,f,0,22348
32-32,12,f,0,21441
32-32,12,f,0,19974
32-32,12,f,0,19485
32-32,12,f,0,10266
32-32,12,f,0,19974
32-32,12,f,0,10057
32-32,12,f,0,19415
32-32,12,f,0,29053
32-32,12,f,0,9918
32-32,12,f,0,19206
32-32,12,f,0,10057
32-32,12,f,0,19625
32-32,12,f,0,73750
32-32,12,f,0,18298
32-32,12,f,0,19765
32-32,12,f,0,19974
32-32,12,f,0,20044
32-32,12,f,0,9987
32-32,12,f,0,19695
32-32,12,f,0,10615
32-32,12,f,0,20602
32-32,12,f,0,32405
32-32,12,f,0,9987
32-32,12,f,0,20463
32-32,12,f,0,9498
32-32,12,f,0,19625
32-32,12,f,0,10406
32-32,12,f,0,19066
32-32,12,f,0,30519
32-32,12,f,0,20183
32-32,12,f,0,20254
32-32,12,f,0,11034
32-32,12,f,0,21441
32-32,12,f,0,10057
